dimension,file,board.cache_hierarchy.membus.badaddr_responder.power_state.pwrStateResidencyTicks,board.cache_hierarchy.membus.pktCount,board.cache_hierarchy.membus.pktCount_board.processor.cores.core.dcache_port,board.cache_hierarchy.membus.pktCount_board.processor.cores.core.icache_port,board.cache_hierarchy.membus.pktSize,board.cache_hierarchy.membus.pktSize_board.processor.cores.core.dcache_port,board.cache_hierarchy.membus.pktSize_board.processor.cores.core.icache_port,board.cache_hierarchy.membus.power_state.pwrStateResidencyTicks,board.cache_hierarchy.membus.reqLayer0.occupancy,board.cache_hierarchy.membus.reqLayer0.utilization,board.cache_hierarchy.membus.respLayer0.occupancy,board.cache_hierarchy.membus.respLayer0.utilization,board.cache_hierarchy.membus.respLayer1.occupancy,board.cache_hierarchy.membus.respLayer1.utilization,board.cache_hierarchy.membus.snoopFanout,board.cache_hierarchy.membus.snoopTraffic,board.cache_hierarchy.membus.snoop_filter.hitMultiRequests,board.cache_hierarchy.membus.snoop_filter.hitMultiSnoops,board.cache_hierarchy.membus.snoop_filter.hitSingleRequests,board.cache_hierarchy.membus.snoop_filter.hitSingleSnoops,board.cache_hierarchy.membus.snoop_filter.totRequests,board.cache_hierarchy.membus.snoop_filter.totSnoops,board.cache_hierarchy.membus.snoops,board.cache_hierarchy.membus.transDist,board.clk_domain.clock,board.clk_domain.voltage_domain.voltage,board.memory.mem_ctrl.avgGap,board.memory.mem_ctrl.avgPriority_processor.cores.core.data,board.memory.mem_ctrl.avgPriority_processor.cores.core.inst,board.memory.mem_ctrl.avgRdBWSys,board.memory.mem_ctrl.avgRdQLen,board.memory.mem_ctrl.avgWrBWSys,board.memory.mem_ctrl.avgWrQLen,board.memory.mem_ctrl.bytesReadSys,board.memory.mem_ctrl.bytesReadWrQ,board.memory.mem_ctrl.bytesWrittenSys,board.memory.mem_ctrl.dram.avgBusLat,board.memory.mem_ctrl.dram.avgMemAccLat,board.memory.mem_ctrl.dram.avgQLat,board.memory.mem_ctrl.dram.avgRdBW,board.memory.mem_ctrl.dram.avgWrBW,board.memory.mem_ctrl.dram.busUtil,board.memory.mem_ctrl.dram.busUtilRead,board.memory.mem_ctrl.dram.busUtilWrite,board.memory.mem_ctrl.dram.bwInstRead,board.memory.mem_ctrl.dram.bwRead,board.memory.mem_ctrl.dram.bwTotal,board.memory.mem_ctrl.dram.bwWrite,board.memory.mem_ctrl.dram.bytesInstRead,board.memory.mem_ctrl.dram.bytesPerActivate,board.memory.mem_ctrl.dram.bytesRead,board.memory.mem_ctrl.dram.bytesWritten,board.memory.mem_ctrl.dram.dramBytesRead,board.memory.mem_ctrl.dram.dramBytesWritten,board.memory.mem_ctrl.dram.numReads,board.memory.mem_ctrl.dram.numWrites,board.memory.mem_ctrl.dram.pageHitRate,board.memory.mem_ctrl.dram.peakBW,board.memory.mem_ctrl.dram.perBankRdBursts,board.memory.mem_ctrl.dram.perBankWrBursts,board.memory.mem_ctrl.dram.power_state.pwrStateResidencyTicks,board.memory.mem_ctrl.dram.rank0.actBackEnergy,board.memory.mem_ctrl.dram.rank0.actEnergy,board.memory.mem_ctrl.dram.rank0.actPowerDownEnergy,board.memory.mem_ctrl.dram.rank0.averagePower,board.memory.mem_ctrl.dram.rank0.preBackEnergy,board.memory.mem_ctrl.dram.rank0.preEnergy,board.memory.mem_ctrl.dram.rank0.prePowerDownEnergy,board.memory.mem_ctrl.dram.rank0.pwrStateTime,board.memory.mem_ctrl.dram.rank0.readEnergy,board.memory.mem_ctrl.dram.rank0.refreshEnergy,board.memory.mem_ctrl.dram.rank0.selfRefreshEnergy,board.memory.mem_ctrl.dram.rank0.totalEnergy,board.memory.mem_ctrl.dram.rank0.totalIdleTime,board.memory.mem_ctrl.dram.rank0.writeEnergy,board.memory.mem_ctrl.dram.rank1.actBackEnergy,board.memory.mem_ctrl.dram.rank1.actEnergy,board.memory.mem_ctrl.dram.rank1.actPowerDownEnergy,board.memory.mem_ctrl.dram.rank1.averagePower,board.memory.mem_ctrl.dram.rank1.preBackEnergy,board.memory.mem_ctrl.dram.rank1.preEnergy,board.memory.mem_ctrl.dram.rank1.prePowerDownEnergy,board.memory.mem_ctrl.dram.rank1.pwrStateTime,board.memory.mem_ctrl.dram.rank1.readEnergy,board.memory.mem_ctrl.dram.rank1.refreshEnergy,board.memory.mem_ctrl.dram.rank1.selfRefreshEnergy,board.memory.mem_ctrl.dram.rank1.totalEnergy,board.memory.mem_ctrl.dram.rank1.totalIdleTime,board.memory.mem_ctrl.dram.rank1.writeEnergy,board.memory.mem_ctrl.dram.readBursts,board.memory.mem_ctrl.dram.readRowHitRate,board.memory.mem_ctrl.dram.readRowHits,board.memory.mem_ctrl.dram.totBusLat,board.memory.mem_ctrl.dram.totMemAccLat,board.memory.mem_ctrl.dram.totQLat,board.memory.mem_ctrl.dram.writeBursts,board.memory.mem_ctrl.dram.writeRowHitRate,board.memory.mem_ctrl.dram.writeRowHits,board.memory.mem_ctrl.mergedWrBursts,board.memory.mem_ctrl.neitherReadNorWriteReqs,board.memory.mem_ctrl.numRdRetry,board.memory.mem_ctrl.numReadWriteTurnArounds,board.memory.mem_ctrl.numStayReadState,board.memory.mem_ctrl.numStayWriteState,board.memory.mem_ctrl.numWrRetry,board.memory.mem_ctrl.numWriteReadTurnArounds,board.memory.mem_ctrl.power_state.pwrStateResidencyTicks,board.memory.mem_ctrl.priorityMaxLatency,board.memory.mem_ctrl.priorityMinLatency,board.memory.mem_ctrl.rdPerTurnAround,board.memory.mem_ctrl.rdQLenPdf,board.memory.mem_ctrl.readBursts,board.memory.mem_ctrl.readPktSize,board.memory.mem_ctrl.readReqs,board.memory.mem_ctrl.requestorReadAccesses,board.memory.mem_ctrl.requestorReadAvgLat,board.memory.mem_ctrl.requestorReadBytes,board.memory.mem_ctrl.requestorReadRate,board.memory.mem_ctrl.requestorReadTotalLat,board.memory.mem_ctrl.requestorWriteAccesses,board.memory.mem_ctrl.requestorWriteAvgLat,board.memory.mem_ctrl.requestorWriteBytes,board.memory.mem_ctrl.requestorWriteRate,board.memory.mem_ctrl.requestorWriteTotalLat,board.memory.mem_ctrl.servicedByWrQ,board.memory.mem_ctrl.totGap,board.memory.mem_ctrl.wrPerTurnAround,board.memory.mem_ctrl.wrQLenPdf,board.memory.mem_ctrl.writeBursts,board.memory.mem_ctrl.writePktSize,board.memory.mem_ctrl.writeReqs,board.processor.cores.core.commitStats0.committedControl,board.processor.cores.core.commitStats0.committedInstType,board.processor.cores.core.commitStats0.cpi,board.processor.cores.core.commitStats0.ipc,board.processor.cores.core.commitStats0.numFpInsts,board.processor.cores.core.commitStats0.numInsts,board.processor.cores.core.commitStats0.numInstsNotNOP,board.processor.cores.core.commitStats0.numIntInsts,board.processor.cores.core.commitStats0.numLoadInsts,board.processor.cores.core.commitStats0.numMemRefs,board.processor.cores.core.commitStats0.numOps,board.processor.cores.core.commitStats0.numOpsNotNOP,board.processor.cores.core.commitStats0.numStoreInsts,board.processor.cores.core.commitStats0.numVecInsts,board.processor.cores.core.cpi,board.processor.cores.core.exec_context.thread_0.idleFraction,board.processor.cores.core.exec_context.thread_0.notIdleFraction,board.processor.cores.core.exec_context.thread_0.numBusyCycles,board.processor.cores.core.exec_context.thread_0.numCallsReturns,board.processor.cores.core.exec_context.thread_0.numIdleCycles,board.processor.cores.core.exec_context.thread_0.numMatAluAccesses,board.processor.cores.core.exec_context.thread_0.numMatInsts,board.processor.cores.core.executeStats0.instRate,board.processor.cores.core.executeStats0.numBranches,board.processor.cores.core.executeStats0.numDiscardedOps,board.processor.cores.core.executeStats0.numFpAluAccesses,board.processor.cores.core.executeStats0.numFpRegReads,board.processor.cores.core.executeStats0.numFpRegWrites,board.processor.cores.core.executeStats0.numInsts,board.processor.cores.core.executeStats0.numIntAluAccesses,board.processor.cores.core.executeStats0.numIntRegReads,board.processor.cores.core.executeStats0.numIntRegWrites,board.processor.cores.core.executeStats0.numLoadInsts,board.processor.cores.core.executeStats0.numMemRefs,board.processor.cores.core.executeStats0.numMiscRegReads,board.processor.cores.core.executeStats0.numMiscRegWrites,board.processor.cores.core.executeStats0.numNop,board.processor.cores.core.executeStats0.numStoreInsts,board.processor.cores.core.executeStats0.numVecAluAccesses,board.processor.cores.core.fetchStats0.branchRate,board.processor.cores.core.fetchStats0.fetchRate,board.processor.cores.core.fetchStats0.numBranches,board.processor.cores.core.fetchStats0.numFetchSuspends,board.processor.cores.core.fetchStats0.numInsts,board.processor.cores.core.fetchStats0.numOps,board.processor.cores.core.ipc,board.processor.cores.core.mmu.dtb.accesses,board.processor.cores.core.mmu.dtb.hits,board.processor.cores.core.mmu.dtb.misses,board.processor.cores.core.mmu.dtb.readAccesses,board.processor.cores.core.mmu.dtb.readHits,board.processor.cores.core.mmu.dtb.readMisses,board.processor.cores.core.mmu.dtb.walker.num_2mb_walks,board.processor.cores.core.mmu.dtb.walker.num_4kb_walks,board.processor.cores.core.mmu.dtb.walker.num_64kb_walks,board.processor.cores.core.mmu.dtb.walker.power_state.pwrStateResidencyTicks,board.processor.cores.core.mmu.dtb.writeAccesses,board.processor.cores.core.mmu.dtb.writeHits,board.processor.cores.core.mmu.dtb.writeMisses,board.processor.cores.core.mmu.itb.accesses,board.processor.cores.core.mmu.itb.hits,board.processor.cores.core.mmu.itb.misses,board.processor.cores.core.mmu.itb.readAccesses,board.processor.cores.core.mmu.itb.readHits,board.processor.cores.core.mmu.itb.readMisses,board.processor.cores.core.mmu.itb.walker.num_2mb_walks,board.processor.cores.core.mmu.itb.walker.num_4kb_walks,board.processor.cores.core.mmu.itb.walker.num_64kb_walks,board.processor.cores.core.mmu.itb.walker.power_state.pwrStateResidencyTicks,board.processor.cores.core.mmu.itb.writeAccesses,board.processor.cores.core.mmu.itb.writeHits,board.processor.cores.core.mmu.itb.writeMisses,board.processor.cores.core.numCycles,board.processor.cores.core.numWorkItemsCompleted,board.processor.cores.core.numWorkItemsStarted,board.processor.cores.core.power_state.pwrStateResidencyTicks,board.processor.cores.core.thread_0.numInsts,board.processor.cores.core.thread_0.numMemRefs,board.processor.cores.core.thread_0.numOps,board.processor.cores.core.workload.numSyscalls,board.workload.inst.arm,board.workload.inst.quiesce,finalTick,hostInstRate,hostMemory,hostOpRate,hostSeconds,hostTickRate,simFreq,simInsts,simOps,simSeconds,simTicks
8000,softmax_N8000.txt,47696902500.0,2100294.0,306126.0,1794168.0,4553545.0,965209.0,3588336.0,47696902500.0,0.0,0.0,0.0,0.0,1.0,1.0,1050147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,500.0,1.0,45419.15,107005.0,897084.0,91169463.25812247,1.0,4297050.52649907,26.53,4348501.0,646016.0,204956.0,5000.0,21619.57,2869.57,1344.912492,2.34011,10.53,10.51,0.02,75232055.0,91169463.0,95464669.0,4295206.0,3588336.0,84273.0,4348501.0,204868.0,64148160.0,111616.0,1012409.0,37725.0,91.61,12800.0,15.0,15.0,47696902500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1002315.0,91.61,918190.0,5011575000.0,21669619250.0,2876213000.0,1744.0,91.11,1589.0,35964.0,0.0,0.0,109.0,2054508.0,1635.0,0.0,109.0,47696902500.0,0.03070632425,1.875e-08,109.0,31.0,1012409.0,6.0,1012409.0,115325.0,21649.04,679879.0,14254154.135061497,2496675000.0,37738.0,33025023.52,7776.0,163029.45458565155,1246298337500.0,10094.0,47696787000.0,109.0,63.0,37738.0,6.0,37738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.172391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006704,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,64.0,47696902500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,64.0,47696902500.0,0.0,0.0,0.0,95393805.0,0.0,0.0,47696902500.0,0.0,0.0,0.0,14.0,0.0,0.0,47696902500.0,262315.0,1262936.0,262334.0,2.44,19567301736.0,1000000000000.0,639455.0,639502.0,0.047697,47696902500.0
16000,softmax_N16000.txt,86811091000.0,3829214.0,562332.0,3266882.0,8331771.0,1798007.0,6533764.0,86811091000.0,0.0,0.0,0.0,0.0,1.0,1.0,1914607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,500.0,1.0,45341.41,196568.0,1633441.0,91767525.41907346,1.0,4207342.5848317,25.78,7966439.0,1159040.0,365244.0,5000.0,21549.79,2799.79,1346.720455,2.406328,10.54,10.52,0.02,75264162.0,91767525.0,95973854.0,4206329.0,6533764.0,150070.0,7966439.0,365156.0,116910272.0,208896.0,1844833.0,69761.0,91.8,12800.0,15.0,15.0,86811091000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1826723.0,91.8,1676917.0,9133615000.0,39365492750.0,5114436500.0,3264.0,91.76,2995.0,66488.0,0.0,0.0,204.0,3745309.0,3066.0,0.0,204.0,86811091000.0,0.01761562475,1.875e-08,204.0,31.0,1844833.0,6.0,1844833.0,211392.0,21571.29,1288237.0,14839543.94721292,4559998000.0,69774.0,31407331.9,13949.0,160682.23356391178,2191415176250.0,18110.0,86810975500.0,204.0,63.0,69774.0,6.0,69774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.70501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00668,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,64.0,86811091000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,64.0,86811091000.0,0.0,0.0,0.0,173622182.0,0.0,0.0,86811091000.0,0.0,0.0,0.0,15.0,0.0,0.0,86811091000.0,265187.0,1262936.0,265197.0,4.37,19851324118.0,1000000000000.0,1159713.0,1159760.0,0.086811,86811091000.0
32000,softmax_N32000.txt,165003796500.0,7285926.0,1074442.0,6211484.0,15885396.0,3462428.0,12422968.0,165003796500.0,0.0,0.0,0.0,0.0,1.0,1.0,3642963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,500.0,1.0,45293.81,375646.0,3105742.0,92118510.73984228,1.0,4153868.05963583,25.6,15199904.0,2182272.0,685404.0,5000.0,21506.03,2756.03,1347.875314,2.438926,10.55,10.53,0.02,75288983.0,92118511.0,96271845.0,4153335.0,12422968.0,281727.0,15199904.0,685316.0,222404544.0,402432.0,3509169.0,133781.0,91.91,12800.0,15.0,15.0,165003796500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3475071.0,91.91,3193850.0,17375355000.0,74734986250.0,9577405000.0,6288.0,91.84,5775.0,127477.0,0.0,0.0,393.0,7125917.0,5903.0,0.0,393.0,165003796500.0,0.0289919385,1.875e-08,393.0,31.0,3509169.0,6.0,3509169.0,403427.0,21423.91,2504609.0,15179099.22757444,8642983750.0,133794.0,30886260.31,26150.0,158481.20197646483,4132396312500.0,34098.0,165003681000.0,393.0,63.0,133794.0,6.0,133794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.003792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,64.0,165003796500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,64.0,165003796500.0,0.0,0.0,0.0,330007593.0,0.0,0.0,165003796500.0,0.0,0.0,0.0,15.0,0.0,0.0,165003796500.0,350509.0,1262936.0,350516.0,6.28,26290184459.0,1000000000000.0,2199915.0,2199962.0,0.165004,165003796500.0
64000,softmax_N64000.txt,321392007000.0,14194354.0,2097786.0,12096568.0,30981113.0,6787977.0,24193136.0,321392007000.0,0.0,0.0,0.0,0.0,1.0,1.0,7097177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,500.0,1.0,45284.47,733605.0,6048284.0,92275147.96284278,1.0,4121004.78902078,25.85,29656495.0,4229184.0,1324458.0,5000.0,21499.3,2749.3,1348.019884,2.478817,10.55,10.53,0.02,75276097.0,92275148.0,96395655.0,4120507.0,24193136.0,546979.0,29656495.0,1324298.0,433242816.0,796672.0,6835500.0,261652.0,91.93,12800.0,15.0,15.0,321392007000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6769419.0,91.94,6223468.0,33847095000.0,145537766000.0,18611159750.0,12448.0,91.69,11413.0,249207.0,0.0,0.0,778.0,13882272.0,11689.0,0.0,778.0,321392007000.0,0.0519845205,1.875e-08,778.0,31.0,6835500.0,6.0,6835500.0,787216.0,21373.81,4935228.0,15355789.479854738,16825806250.0,261677.0,31136083.89,51190.0,159275.89636664488,8147597023500.0,66081.0,321391891500.0,778.0,63.0,261677.0,6.0,261677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.224914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006657,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,64.0,321392007000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,64.0,321392007000.0,0.0,0.0,0.0,642784014.0,0.0,0.0,321392007000.0,0.0,0.0,0.0,18.0,0.0,0.0,321392007000.0,440260.0,1262936.0,440265.0,9.72,33070495620.0,1000000000000.0,4278664.0,4278715.0,0.321392,321392007000.0
